ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,AS_OF_DATE,IVA_INDUSTRY,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,CLIMATE_CHANGE_THEME_SCORE,NATURAL_RES_USE_THEME_SCORE,WASTE_MGMT_THEME_SCORE,HUMAN_CAPITAL_THEME_SCORE,PRODUCT_SAFETY_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,BUSINESS_ETHICS_THEME_SCORE,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_EXP_SCORE,ENERGY_EFFICIENCY_EXP_SCORE,PROD_CARB_FTPRNT_EXP_SCORE,WATER_STRESS_SCORE,WATER_STRESS_EXP_SCORE,WATER_STRESS_MGMT_SCORE,BIODIV_LAND_USE_EXP_SCORE,TOXIC_EMISS_WSTE_EXP_SCORE,OPPS_CLN_TECH_EXP_SCORE,LABOR_MGMT_SCORE,LABOR_MGMT_WEIGHT,LABOR_MGMT_EXP_SCORE,LABOR_MGMT_MGMT_SCORE,HLTH_SAFETY_WEIGHT,HLTH_SAFETY_EXP_SCORE,HUMAN_CAPITAL_DEV_EXP_SCORE,HUMAN_CAPITAL_DEV_MGMT_SCORE,PROD_SFTY_QUALITY_EXP_SCORE,CHEM_SAFETY_EXP_SCORE,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_EXP_SCORE,PRIVACY_DATA_SEC_MGMT_SCORE,CORP_GOVERNANCE_SCORE,CORRUPTION_INST_SCORE,CORRUPTION_INST_EXP_SCORE,CORRUPTION_INST_MGMT_SCORE,BUS_ETHICS_FRAUD_SCORE,BUS_ETHICS_FRAUD_MGMT_SCORE,ANTICOMP_PRACT_SCORE,ANTICOMP_PRACT_MGMT_SCORE,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_QUARTILE,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_PCTL_GLOBAL,PAY_PCTL_HOME
COMMONWEALTH BANK OF AUSTRALIA,CBA,AU000000CBA7,AU,20180401,Banks,7.7,5.5,8.6,4.5,6.5,8.6,6.80,10.00,4.60,4.00,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,5,3,97,90,1,86,40,78,40,58,43
CROWN RESORTS LIMITED,CWN,AU000000CWN6,AU,20180401,Casinos & Gaming,5.9,4.7,4.7,6.4,3.8,4.7,4.70,10.00,4.60,8.20,6.3,2.60,4.7,6,6,2.6,4.70,5.7,3.40,2.2,2.2,0,4.60,14.00,7.50,5.10,0,2.2,2.50,6.20,6.3,3.4,7.80,5.00,5.80,6.3,2.70,7.50,3.20,2.50,2.50,5.00,5.00,40,47,37,9,2,63,12,99,97,49,29
TPG TELECOM LIMITED,TPM,AU000000TPM6,AU,20180401,Integrated Telecommunication Services,1.8,3.4,6.5,2.8,3.8,6.5,5.20,8.80,2.40,2.90,4.2,3.40,6.5,2.5,1,1.9,5.20,2.8,1.00,1.6,1.7,0,2.40,18.00,7.30,2.70,0,1.3,7.20,0.90,4.1,0,2.90,8.30,4.20,4.2,3.40,6.50,2.90,4.20,4.20,5.00,5.00,65,85,3,0,4,18,1,99,97,44,19
TATTS GROUP LIMITED,TTSLF,AU000000TTS5,AU,20180401,Casinos & Gaming,8.1,5.4,6.7,5.2,5.2,6.7,0.80,7.70,7.00,4.10,8.1,3.00,6.7,4,2.2,3.1,0.80,6.2,0.00,2.5,2.5,0,7.00,17.00,4.80,4.80,0,1.8,3.50,6.30,6.1,3.4,5.10,4.40,2.50,8.1,3.00,7.50,3.50,4.20,4.20,5.00,5.00,28,27,86,64,1,96,76,99,97,95,91
MERCEDES-BENZ AUSTRALIA/PACIFIC PTY LTD,,XS1794352846,AU,20180401,Automobiles,4.5,4.5,6.6,3.3,3.9,8.6,9.10,4.00,3.50,3.20,3.4,4.20,10,2.2,1.3,5.1,9.10,3.5,5.60,2.8,6.3,5.4,3.50,16.00,10.00,6.50,0,3.3,5.90,6.30,9.1,7.9,10.00,3.60,7.50,3.4,6.20,6.80,6.00,3.30,3.30,3.70,3.70,15,10,26,25,3,9,8,8,1,35,29
MEDALLION TRUST SERIES 2005 1G,,AU300MEDD015,AU,20180401,Banks,7.7,5.5,8.6,4.5,6.5,8.6,6.80,10.00,4.60,4.00,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,5,3,97,90,1,86,40,78,40,58,43
The trustee for Medallion Trust Series 2005-2G,,AU300MEDE013,AU,20180401,Banks,7.7,5.5,8.6,4.5,6.5,8.6,6.80,10.00,4.60,4.00,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,5,3,97,90,1,86,40,78,40,58,43
MEDALLION TRUST SERIES 2006-1G,,AU300MEDF010,AU,20180401,Banks,7.7,5.5,8.6,4.5,6.5,8.6,6.80,10.00,4.60,4.00,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,5,3,97,90,1,86,40,78,40,58,43
COLONIAL HOLDING COMPANY LIMITED,,AU0000CNGHA2,AU,20180401,Banks,7.7,5.5,8.6,4.5,6.5,8.6,6.80,10.00,4.60,4.00,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,5,3,97,90,1,86,40,78,40,58,43
CROWN GROUP FINANCE LIMITED,CWN,AU3CB0225324,AU,20180401,Casinos & Gaming,5.9,4.7,4.7,6.4,3.8,4.7,4.70,10.00,4.60,8.20,6.3,2.60,4.7,6,6,2.6,4.70,5.7,3.40,2.2,2.2,0,4.60,14.00,7.50,5.10,0,2.2,2.50,6.20,6.3,3.4,7.80,5.00,5.80,6.3,2.70,7.50,3.20,2.50,2.50,5.00,5.00,40,47,37,9,2,63,12,99,97,49,29
